IR,RED
64927.0,68102.0
64899.0,68117.0
64912.0,68156.0
64872.0,68165.0
64887.0,68148.0
64907.0,68155.0
64894.0,68137.0
64927.0,68141.0
64913.0,68151.0
64913.0,68153.0
64911.0,68189.0
64917.0,68182.0
64906.0,68215.0
64904.0,68184.0
64891.0,68187.0
64932.0,68168.0
64946.0,68149.0
64941.0,68185.0
64931.0,68228.0
64924.0,68209.0
64924.0,68215.0
64910.0,68215.0
64911.0,68217.0
64924.0,68209.0
64956.0,68206.0
64946.0,68171.0
64929.0,68251.0
64954.0,68227.0
64940.0,68244.0
64929.0,68258.0
64933.0,68256.0
64945.0,68239.0
64958.0,68247.0
64949.0,68214.0
64941.0,68278.0
64939.0,68276.0
64941.0,68257.0
64950.0,68267.0
64942.0,68261.0
64930.0,68249.0
64974.0,68250.0
64963.0,68258.0
64983.0,68289.0
64969.0,68295.0
64983.0,68325.0
64970.0,68311.0
64944.0,68312.0
64958.0,68286.0
64988.0,68304.0
64984.0,68316.0
64985.0,68353.0
64972.0,68341.0
64984.0,68345.0
64975.0,68357.0
64962.0,68351.0
64971.0,68332.0
65009.0,68330.0
65022.0,68334.0
65002.0,68358.0
64984.0,68361.0
64973.0,68361.0
64991.0,68373.0
64976.0,68359.0
64995.0,68358.0
64996.0,68356.0
65017.0,68373.0
65020.0,68372.0
65003.0,68405.0
64990.0,68389.0
65022.0,68388.0
64985.0,68388.0
65001.0,68380.0
65019.0,68356.0
65022.0,68367.0
65021.0,68399.0
65009.0,68427.0
65021.0,68424.0
64988.0,68384.0
64987.0,68398.0
64987.0,68389.0
65006.0,68386.0
65036.0,68379.0
65013.0,68405.0
65009.0,68439.0
65016.0,68404.0
65004.0,68410.0
64986.0,68415.0
64992.0,68386.0
65024.0,68376.0
65029.0,68388.0
65026.0,68414.0
65022.0,68460.0
65013.0,68445.0
65011.0,68428.0
65021.0,68446.0
64997.0,68421.0
65010.0,68429.0
65064.0,68406.0
65024.0,68425.0
65013.0,68459.0
65027.0,68446.0
65012.0,68434.0
65006.0,68431.0
